run_name,kernel_type,seed,n_qubits,n_layers,entanglement,n_train,n_test,svm_c,rbf_gamma,train_kernel,initial_theta,maxiter,learning_rate,perturbation,n_trainable_params,train_time_sec,kernel_eval_time_sec,test_accuracy,optimal_value,optimizer_evals
kernel=quantum_chebyshev_layers=2_traink=false_qubits=6_C=10p0_seed=42,quantum_chebyshev,42,6,2,linear,200,100,10.0,,False,random,20,0.05,0.05,22,0.0,469.21236027099803,0.84,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=6_C=0p1_seed=43,quantum_chebyshev,43,6,2,linear,200,100,0.1,,False,random,20,0.05,0.05,22,0.0,471.92813841000316,0.86,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=1p0_seed=45,quantum_chebyshev,45,2,2,linear,200,100,1.0,,False,random,20,0.05,0.05,6,0.0,111.44421459799923,0.9,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=6_C=1p0_seed=42,quantum_chebyshev,42,6,2,linear,200,100,1.0,,False,random,20,0.05,0.05,22,0.0,474.48087911600305,0.88,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=1p0_seed=44,quantum_chebyshev,44,6,1,linear,200,100,1.0,,False,random,20,0.05,0.05,11,0.0,343.3638542970002,1.0,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=6_C=0p01_seed=43,quantum_chebyshev,43,6,2,linear,200,100,0.01,,False,random,20,0.05,0.05,22,0.0,479.8777311970043,0.83,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=4_C=100p0_seed=44,quantum_chebyshev,44,4,2,linear,200,100,100.0,,False,random,20,0.05,0.05,14,0.0,238.59525807400496,0.96,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=1p0_seed=45,quantum_chebyshev,45,4,1,linear,200,100,1.0,,False,random,20,0.05,0.05,7,0.0,145.77695334800228,0.97,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=10p0_seed=44,quantum_chebyshev,44,6,1,linear,200,100,10.0,,False,random,20,0.05,0.05,11,0.0,325.73202932000277,1.0,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=6_C=1p0_seed=43,quantum_chebyshev,43,6,2,linear,200,100,1.0,,False,random,20,0.05,0.05,22,0.0,495.1765658250006,0.97,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=100p0_seed=45,quantum_chebyshev,45,2,1,linear,200,100,100.0,,False,random,20,0.05,0.05,3,0.0,66.21482418900268,0.98,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=6_C=0p01_seed=42,quantum_chebyshev,42,6,2,linear,200,100,0.01,,False,random,20,0.05,0.05,22,0.0,512.310401282004,0.82,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=6_C=0p1_seed=42,quantum_chebyshev,42,6,2,linear,200,100,0.1,,False,random,20,0.05,0.05,22,0.0,513.2985464209996,0.82,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=10p0_seed=45,quantum_chebyshev,45,2,2,linear,200,100,10.0,,False,random,20,0.05,0.05,6,0.0,105.0566393620029,0.89,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=4_C=0p01_seed=45,quantum_chebyshev,45,4,2,linear,200,100,0.01,,False,random,20,0.05,0.05,14,0.0,238.26949212399632,0.96,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=6_C=100p0_seed=43,quantum_chebyshev,43,6,2,linear,200,100,100.0,,False,random,20,0.05,0.05,22,0.0,466.5300491809976,0.99,nan,nan
